<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230505,000000,1.1022500,1.1047900,1.0965900,1.1017400,1299513
20230507,000000,1.1031000,1.1031000,1.1013500,1.1018200,48192
20230508,000000,1.1017700,1.1053700,1.0993000,1.0996500,1100376
20230509,000000,1.0996000,1.1000700,1.0940000,1.0964400,1294191
20230510,000000,1.0964200,1.1006800,1.0940000,1.0982600,1431104
20230511,000000,1.0982700,1.0998100,1.0899000,1.0911600,1483600
20230512,000000,1.0911900,1.0935500,1.0846800,1.0847000,1238978
20230514,000000,1.0846000,1.0866000,1.0839200,1.0852600,46045
20230515,000000,1.0852000,1.0890800,1.0847000,1.0873300,1125758
20230516,000000,1.0873300,1.0904600,1.0854000,1.0864900,1243596
20230517,000000,1.0864900,1.0874000,1.0809000,1.0837500,1264076
20230518,000000,1.0837500,1.0848000,1.0761000,1.0774500,1231143
20230519,000000,1.0774500,1.0829000,1.0759000,1.0801900,1303644
20230521,000000,1.0809200,1.0824200,1.0803200,1.0821800,44315
20230522,000000,1.0821100,1.0831300,1.0794000,1.0810000,1342354
20230523,000000,1.0809700,1.0820600,1.0759000,1.0769000,1404533
20230524,000000,1.0769000,1.0801300,1.0741400,1.0755600,1434675
20230525,000000,1.0754800,1.0755900,1.0706600,1.0723200,1388916
20230526,000000,1.0723500,1.0758600,1.0700000,1.0725000,1263136
20230528,000000,1.0727200,1.0729200,1.0712000,1.0720900,45953
20230529,000000,1.0721200,1.0743500,1.0704000,1.0706000,685857
20230530,000000,1.0706600,1.0746600,1.0671000,1.0731600,1367001
20230531,000000,1.0731100,1.0735600,1.0634000,1.0693500,1480580
20230601,000000,1.0692700,1.0768500,1.0661000,1.0760600,1321963
20230602,000000,1.0760300,1.0779000,1.0703900,1.0706000,1254737
20230604,000000,1.0710600,1.0713600,1.0693000,1.0696100,49229
20230605,000000,1.0696400,1.0722500,1.0673000,1.0711400,1178607
20230606,000000,1.0710900,1.0732900,1.0666000,1.0698200,1181197
20230607,000000,1.0697800,1.0739900,1.0667000,1.0706900,1059276
20230608,000000,1.0706900,1.0787100,1.0700000,1.0781100,1066675
20230609,000000,1.0781100,1.0785200,1.0742000,1.0747000,972200
20230611,000000,1.0746000,1.0751600,1.0742300,1.0750100,37965
20230612,000000,1.0750100,1.0790100,1.0732300,1.0762000,1041770
20230613,000000,1.0761500,1.0823500,1.0758000,1.0794700,1198768
20230614,000000,1.0788400,1.0864100,1.0783000,1.0842400,969181
20230615,000000,1.0842400,1.0952700,1.0802000,1.0945500,1220262
20230616,000000,1.0945600,1.0970700,1.0917200,1.0940100,1125873
20230618,000000,1.0940100,1.0943200,1.0931700,1.0939500,48016
20230619,000000,1.0939100,1.0946300,1.0905000,1.0923100,825495
20230620,000000,1.0923100,1.0946200,1.0891000,1.0920000,1210014
20230621,000000,1.0919500,1.0992300,1.0904000,1.0991200,1229314
20230622,000000,1.0990800,1.1012300,1.0947700,1.0955400,1192458
20230623,000000,1.0955400,1.0958600,1.0843600,1.0891000,1280033
20230625,000000,1.0895000,1.0910000,1.0890500,1.0905500,51420
20230626,000000,1.0905700,1.0920100,1.0886700,1.0909800,1092132
20230627,000000,1.0910000,1.0976800,1.0901300,1.0957000,1233327
20230628,000000,1.0957200,1.0962200,1.0896100,1.0914700,1248163
20230629,000000,1.0914700,1.0941400,1.0859000,1.0866800,1268460
20230630,000000,1.0866800,1.0931900,1.0834400,1.0907400,1172591
